id,lat,lon,educational,topics,languages,name,type,parent,parenttype,mo_o,mo_c,tu_o,tu_c,we_o,we_c,th_o,th_c,fr_o,fr_c
274129,52.5053876,13.5528564,"0",,,"casa dei bambini",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2032,52.49747,13.51174,"1",,,"Erlebniswelt",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1376,52.4794894,13.4406379,"2|3","0|1|2|3|4|5","0|1|2|3","Mosaik",0,1,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
640,52.5282358,13.6180662,"2",,,"Naseweis",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2148,52.54892,13.56246,"2",,,"Schwalbennest",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2010,52.5183049,13.4827176,"2",,,"Sonnengarten",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
627,52.5252217,13.4746268,"4",,,"Spatzennest",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2060,52.5593051,13.4761485,,,,"Villa Seegarten",0,0,0,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30
2523,52.62904,13.38272,,"6",,"Waldkindergarten Pankow e.V. - Die Waldläufer",0,2,2,0,0,0,0,0,0,0,0,0,0
452129,52.4894012,13.4548858,,,,"2. Kita Pretty World",0,3,1,0,0,0,0,0,0,0,0,0,0
608229,52.47892,13.51381,"2",,,"ABC Kindergarten",0,4,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00
2781,52.49792000000001,13.302,"2",,,"ABC-Kindergarten",0,4,1,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00
686229,52.5118419,13.3881619,,,"1|4","Alegria Kiga",0,5,1,07:30,18:30,07:30,18:30,07:30,18:30,07:30,18:30,07:30,18:30
56,52.52968000000001,13.43022,"5",,,"Am Hain",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
209,52.428169,13.543557,"2",,,"Am Studio 5 / Kitas SüdOst",0,6,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
606279,52.6051176,13.4325524,,,,"ASB Hugenottenhofkita Berlin",0,7,1,0,0,0,0,0,0,0,0,0,0
182129,52.4959684,13.4745211,"6|2",,,"Außenstelle FRÖBEL Kindergarten Palmkernzeile",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2425,52.4916552,13.404509,"7|2",,,"AWO Europakita",0,9,3,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
480129,52.5247201,13.3464529,,,,"AWO Kita am Spreebogen",0,9,3,0,0,0,0,0,0,0,0,0,0
1125,52.4029373,13.5098348,"2",,,"AWO Kita Die wilde 13",0,10,3,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1454,52.59814,13.30593,"2",,,"AWO Kita Freie Scholle",0,10,3,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1996,52.4851912,13.5340077,"2",,,"AWO Kita Grashüpfer",0,10,3,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00
1109,52.49534999999999,13.43189,"2",,,"AWO Kita Kastanie",0,9,3,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
1020,52.56924,13.30816,"2",,,"AWO Kita Kinderwelt",0,10,3,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2424,52.4927395,13.4026517,"7|8|1|2",,,"AWO Kita Löwenzahn",0,9,3,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
2314,52.5032376,13.3566709,"2","2|3",,"AWO Kita Maulwurf",0,9,3,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,16:30
2736,52.454704,13.6210976,"2",,,"AWO Kita Müggelzwerge",0,10,3,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
552,52.5468238,13.3918514,"2",,,"AWO Kita Rosa Marzipan",0,9,3,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30
2786,52.4350438,13.4573353,"2",,,"AWO Kita Schatzinsel",0,10,3,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30
726,52.526222,13.348893,"2","0|1|2|3|4",,"AWO Kita Schmetterling",0,9,3,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,16:00
1219,52.5528215,13.2494302,"9|10|4|2",,,"AWO Kita Schneckenhaus",0,10,3,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
553,52.5543619,13.3659834,"8|10|11|4|2",,,"AWO Kita Sonnenblume",0,9,3,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
2737,52.4378176,13.556519,"2",,,"AWO Kita Sonnenkinder",0,10,3,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30
2735,52.47511,13.47483,"9|4|1|2",,,"AWO Kita Spatzennest",0,10,3,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30
904,52.5002,13.42242,"8|2",,,"AWO Kita Wassertropfen",0,9,3,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
337129,52.53339,13.54169,"2","0|2",,"AWO pro:mensch",0,11,3,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1568,52.53432,13.13592,"2","0|1|2|3|4|6",,"AWO-Kita Feldhäuschen",0,12,3,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:00
557,52.4568009,13.1550512,"2","4",,"AWO-Kita Kladow",0,12,3,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00
537,52.4706761,13.1299749,"2","2",,"AWO-Kita Landstadt Gatow",0,12,3,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1715,52.5512672,13.1652305,,,,"AWO-Kita Sternschnuppe",0,12,3,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,16:30
1520,52.55256,13.21009,"10","2|3|4",,"AWO-Kita Wundertüte",0,12,3,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
2783,52.53154000000001,13.14643,"2",,,"AWO-Kita Zwergenwinkel",0,12,3,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:00
524229,52.5352451,13.4444337,"12","0",,"Bambini-Oase - Casa gialla",0,13,1,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30
364229,52.5262025,13.3681369,"13|0|12|2|3","0|1|2|3|4|6|5","1","BCS Kindergarten Preschool",0,14,1,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00
1097,52.5478767,13.4220132,"13|2","2|3","1","Berlin Kids international Kita",0,15,1,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30
2986,52.5221879,13.4093313,"3",,"1","Berlin Metropolitan School",1,16,1,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00
519229,52.4539686,13.5681187,,,,"Bewegte Kita",0,17,1,0,0,0,0,0,0,0,0,0,0
205129,52.4693999,13.3307791,"0",,"1","Bilinguales Montessori-Kinderhaus Friedenau",0,18,1,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00
672279,52.4609452,13.528007,,,,"BIP Kreativitätskita Treskow-Höfe",0,19,1,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00
594,52.53776999999999,13.61764,"2|3","0|1|2|4|6",,"BOOT-Kita Am Kirschbaum",0,20,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1028,52.50105,13.33815,"2","2",,"BOOT-Kita Augsburg",0,20,1,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00
181,52.51345999999999,13.4362,"2","2",,"BOOT-Kita Farbenland",0,20,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
611,52.42935629999999,13.3818555,"2","2|4",,"BOOT-Kita Fritz-Werner",0,20,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2265,52.53654,13.58905,"2","2",,"BOOT-Kita Haus Lach und Krach",0,20,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1874,52.480714,13.3614014,"2",,,"BOOT-Kita Sonneninsel",0,20,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
636,52.51644,13.58041,"2","2",,"BOOT-Kita Spatzenhaus",0,20,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
612,52.3972,13.41666,,,,"BOOT-Kita Traumburg",0,20,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
463,52.59067,13.36592,"2","0|1|2|4|6",,"BOOT-Kita Uhlandzwerge",0,20,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2239,52.5415034,13.5856711,"2","0|1|2|4|6|5",,"BOOT-Kita Wummelbude",0,20,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
690,52.4480476,13.4519726,"14",,,"Buckower Spatzen Bewegungskindergarten",0,21,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
461129,52.4397871,13.6032894,"2|3","2|4|6",,"Bude-Kids",2,22,1,07:30,12:30,07:30,12:30,07:30,12:30,07:30,12:30,07:30,12:30
789,52.5726629,13.5757249,"2|3","1|2|4",,"Bunte Kinderwelt",0,23,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
764329,52.4538683,13.3238273,,,,"Cardelinas",0,24,1,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00
